# Retrieved from https://en.wikipedia.org/wiki/Herschel-400-Catalogue, open with lib.stars.catalog.HerschelCatalog.java

# Column - Description
# A - Herschel number
# B - Messier or Caldwell number
# C - NGC or IC number
# D - Common name
# E - Type of object
# F - Distance in kilo light years (kly)
# G - Constellation
# H - Apparent visual magnitude
# I - Additional Messier or Caldwell number
# J - Additional NGC or IC number
# K - Additional common name

248,,NGC 4478,,Galaxy,50000,Virgo,11.2,,,
249,,NGC 4485,,Galaxy,25000,Canes Venatici,12,,,
250,,NGC 4490,,Galaxy,25000,Canes Venatici,9.8,,,
251,,NGC 4494,,Galaxy,45000,Coma Berenices,9.9,,,
252,,NGC 4526,,Galaxy,108000,Virgo,9.6,,,
253,,NGC 4527,,Galaxy,50000,Virgo,10.4,,,
254,,NGC 4535,,Galaxy,55000,Virgo,9.8,,,
255,,NGC 4536,,Galaxy,55000,Virgo,10.4,,,
256,,NGC 4546,,Galaxy,45600,Virgo,10.3,,,
257,M91,NGC 4548,,Galaxy,60000,Coma Berenices,10.2,,,
258,,NGC 4550,,Galaxy,50000,Virgo,11.6,,,
259,C36,NGC 4559,,Galaxy,32000,Coma Berenices,9.9,,,
260,C38,NGC 4565,Needle Galaxy,Galaxy,42000,Coma Berenices,9.6,,,
261,,NGC 4570,,Galaxy,55000,Virgo,10.9,,,
262,M104,NGC 4594,Sombrero Galaxy,Galaxy,50000,Virgo,8.3,,,
263,,NGC 4596,,Galaxy,55000,Virgo,10.5,,,
264,,NGC 4618,,Galaxy,30000,Canes Venatici,10.8,,,
265,C32,NGC 4631,Whale Galaxy,Galaxy,22000,Canes Venatici,9.3,,,
266,,NGC 4636,,Galaxy,53000,Virgo,9.6,,,
267,,NGC 4643,,Galaxy,,Virgo,10.6,,,
268,,NGC 4654,,Galaxy,55000,Virgo,10.5,,,
269,,NGC 4656,Hockey Stick Galaxy,Galaxy,30000,Canes Venatici,10.4,,,
270,,NGC 4660,,Galaxy,63000,Virgo,11,,,
271,,NGC 4665,,Galaxy,58000,Virgo,12,,,
272,,NGC 4666,,Galaxy,80000,Virgo,10.8,,,
273,,NGC 4689,,Galaxy,55000,Coma Berenices,10.9,,,
274,C52,NGC 4697,,Galaxy,76000,Virgo,9.3,,,
275,,NGC 4698,,Galaxy,55000,Virgo,10.7,,,
276,,NGC 4699,,Galaxy,65000,Virgo,9.6,,,
277,,NGC 4725,,Galaxy,41000,Coma Berenices,9.2,,,
278,,NGC 4753,,Galaxy,60000,Virgo,9.9,,,
279,,NGC 4754,,Galaxy,55000,Virgo,10.6,,,
280,,NGC 4762,,Galaxy,60000,Virgo,10.2,,,
281,,NGC 4781,,Galaxy,,Virgo,12,,,
282,,NGC 4800,,Galaxy,95000,Canes Venatici,12,,,
283,,NGC 4845,,Galaxy,47000,Virgo,12,,,
284,,NGC 4856,,Galaxy,,Virgo,10.4,,,
285,,NGC 4866,,Galaxy,80000,Virgo,11,,,
286,,NGC 4900,,Galaxy,,Virgo,11.5,,,
287,,NGC 4958,,Galaxy,,Virgo,10.5,,,
288,,NGC 4995,,Galaxy,,Virgo,11,,,
289,C29,NGC 5005,,Galaxy,69000,Canes Venatici,9.8,,,
290,,NGC 5033,,Galaxy,38000,Canes Venatici,10.1,,,
291,,NGC 5054,,Galaxy,,Virgo,11,,,
292,,NGC 5195,Messier 51b,Galaxy,25000,Canes Venatici,9.6,,,
293,C45,NGC 5248,,Galaxy,74000,Bootes,10.2,,,
294,,NGC 5273,,Galaxy,,Canes Venatici,11.6,,,
295,,NGC 5322,,Galaxy,80000,Ursa Major,10,,,
296,,NGC 5363,,Galaxy,63600,Virgo,10.2,,,
297,,NGC 5364,,Galaxy,55000,Virgo,10.4,,,
298,,NGC 5466,,Globular Cluster,52,Bootes,9.1,,,
299,,NGC 5473,,Galaxy,,Ursa Major,11.4,,,
300,,NGC 5474,,Galaxy,21000,Ursa Major,10.9,,,
301,,NGC 5557,,Galaxy,,Bootes,11.1,,,
302,,NGC 5566,,Galaxy,65000,Virgo,10.5,,,
303,,NGC 5576,,Galaxy,,Virgo,10.9,,,
304,,NGC 5631,,Galaxy,,Ursa Major,13,,,
305,,NGC 5634,,Globular Cluster,88,Virgo,9.6,,,
306,,NGC 5676,,Galaxy,100000,Bootes,10.9,,,
307,,NGC 5689,,Galaxy,,Bootes,11.9,,,
308,C66,NGC 5694,,Globular Cluster,113,Hydra,10.2,,,
309,,NGC 5746,,Galaxy,95000,Virgo,10.6,,,
310,,NGC 5846,,Galaxy,93000,Virgo,10.2,,,
311,M102,NGC 5866,Spindle Galaxy,Galaxy,50000,Draco,10,,,
312,,NGC 5897,,Globular Cluster,24,Libra,8.6,,,
313,,NGC 5907,,Galaxy,55000,Draco,10.4,,,
314,,NGC 5982,,Galaxy,123000,Draco,11.1,,,
315,,NGC 6118,,Galaxy,83000,Serpens,12,,,
316,,NGC 6144,,Globular Cluster,,Scorpius,9.1,,,
317,M107,NGC 6171,,Globular Cluster,20,Ophiuchus,8.1,,,
318,,NGC 6207,,Galaxy,30000,Hercules,11.6,,,
319,,NGC 6217,,Galaxy,67000,Ursa Minor,11.2,,,
320,,NGC 6229,,Globular Cluster,100,Hercules,9.4,,,
321,,NGC 6235,,Globular Cluster,,Ophiuchus,10.2,,,
322,,NGC 6284,,Globular Cluster,50,Ophiuchus,9,,,
323,,NGC 6287,,Globular Cluster,30,Ophiuchus,9.2,,,
324,,NGC 6293,,Globular Cluster,31,Ophiuchus,8.2,,,
325,,NGC 6304,,Globular Cluster,19,Ophiuchus,8.4,,,
326,,NGC 6316,,Globular Cluster,35,Ophiuchus,9,,,
327,,NGC 6342,,Globular Cluster,28,Ophiuchus,9.9,,,
328,,NGC 6355,,Globular Cluster,31,Ophiuchus,9.6,,,
329,,NGC 6356,,Globular Cluster,50,Ophiuchus,8.4,,,
330,,NGC 6369,Little Ghost Nebula,Planetary Nebula,2,Ophiuchus,13,,,
331,,NGC 6401,,Globular Cluster,24,Ophiuchus,9.5,,,
332,,NGC 6426,,Globular Cluster,67,Ophiuchus,11.2,,,
333,,NGC 6440,,Globular Cluster,28,Sagittarius,9.7,,,
334,,NGC 6445,Box Nebula,Planetary Nebula,,Sagittarius,13,,,
335,,NGC 6451,,Open Cluster,,Scorpius,8,,,
336,M20,NGC 6514,Trifid Nebula,Open Cluster and Nebula,2,Sagittarius,6.3,,,
337,,NGC 6517,,Globular Cluster,,Ophiuchus,10.3,,,
338,,NGC 6520,,Open Cluster,,Sagittarius,8,,,
339,,NGC 6522,,Globular Cluster,25,Sagittarius,8.6,,,
340,,NGC 6528,,Globular Cluster,26,Sagittarius,9.5,,,
341,,NGC 6540,,Open Cluster,17,Sagittarius,9.3,,,
342,C6,NGC 6543,Cat's Eye Nebula,Planetary Nebula,3,Draco,9,,,
343,,NGC 6544,,Globular Cluster,10,Sagittarius,8.3,,,
344,,NGC 6553,,Globular Cluster,20,Sagittarius,8.3,,,
345,,NGC 6568,,Open Cluster,,Sagittarius,9,,,
346,,NGC 6569,,Globular Cluster,35,Sagittarius,8.7,,,
