https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 242 |00 43.6|-73 27| 12.0  |p           |                  |            |OC         |303.70|-43.67|R           |Tuc          |vF, S, biN                                           |                                  OPEN STAR CLUSTER|
|NGC 241 |00 43.4|-73 26|       |            |                  |            |-          |303.72|-43.68|R           |Tuc          |vF, R; = 242?                                        |                                       UNIDENTIFIED|
|NGC 2199|06 04.7|-73 24|       |            |                  |            |Gx         |284.23|-29.24|R           |Men          |F, vS, R, bM                                         |                                             GALAXY|
|NGC 220 |00 40.5|-73 24| 11.0  |p           |                  |            |OC         |304.01|-43.71|R           |Tuc          |F, iR, vgbM, 1st of several                          |                                  OPEN STAR CLUSTER|
|NGC 222 |00 40.6|-73 24| 11.0  |p           |                  |            |OC         |304.00|-43.71|R           |Tuc          |vF, R, 2nd of several                                |                                  OPEN STAR CLUSTER|
|NGC 248 |00 45.4|-73 23|       |            |                  |            |Nb         |303.53|-43.74|R           |Tuc          |F, S, E or biN, vglbM                                |                                  REFLECTION NEBULA|
|NGC 231 |00 41.0|-73 22| 12.0  |p           |                  |            |OC         |303.97|-43.74|R           |Tuc          |i train of st and neb                                |                                  OPEN STAR CLUSTER|
|NGC 294 |00 52.1|-73 21|       |            |                  |            |Nb         |302.87|-43.78|R           |Tuc          |vF, pL, R, vglbM, r                                  |                                  REFLECTION NEBULA|
|NGC 465 |01 15.5|-73 20|       |            |                  |            |OC         |300.55|-43.68|DD          |Tuc          |many st, no neb, perhaps Cl                          |                                  OPEN STAR CLUSTER|
|IC 5102 |21 26.3|-73 19|       |            |                  |            |U          |319.14|-36.63|D           |Pav          |eF, eS, bM                                           |                                       UNIDENTIFIED|
|IC 4484 |14 47.7|-73 18|       |            |                  |  2.5       |Gx         |311.15|-12.31|C           |Aps          |eF, eE 140deg , susp                                 |                                             GALAXY|
|NGC 456 |01 14.4|-73 17|       |            |                  | 15.0       |Nb         |300.65|-43.74|S           |Tuc          |pF, pL, iR, r, 1st of sev                            |                                  REFLECTION NEBULA|
|IC 1626 |01 06.1|-73 17|       |            |                  |            |U          |301.47|-43.80|D           |Tuc          |vF, cS, R                                            |                                       UNIDENTIFIED|
|NGC 267 |00 48.0|-73 17|       |            |                  |            |C+N        |303.27|-43.84|R           |Tuc          |Cl, F, pL, st vS                                     |                                  OPEN STAR CLUSTER|
|NGC 6653|18 44.6|-73 16|       |            |                  |  1.8       |Gx         |321.51|-25.41|C           |Pav          |vF, S, lE, glbM                                      |                                             GALAXY|
|NGC 6151|16 38.3|-73 15|       |            |                  |            |U          |317.54|-17.21|R           |Aps          |vF, vS *9 nr                                         |                                       UNIDENTIFIED|
|IC 2596 |10 34.2|-73 14|       |            |                  |  1.4       |Gx         |293.33|-12.98|C           |Car          |eF, pS, bM                                           |                                             GALAXY|
|IC 1644 |01 09.2|-73 12|       |            |                  |            |U          |301.15|-43.87|D           |Tuc          |PN , stell                                           |                                       UNIDENTIFIED|
|NGC 176 |00 35.8|-73 11| 12.0  |p           |                  |            |OC         |304.50|-43.90|R           |Tuc          |eF, S, vlE, r, *8 nr                                 |                                  OPEN STAR CLUSTER|
|IC 5066 |20 57.1|-73 09|       |            |                  |            |U          |320.47|-34.81|D           |Pav          |vF, vS, bM                                           |                                       UNIDENTIFIED|
|NGC 290 |00 51.3|-73 09| 12.0  |p           |                  |            |OC         |302.95|-43.98|R           |Tuc          |eF                                                   |                                  OPEN STAR CLUSTER|
|NGC 152 |00 32.8|-73 09| 12.0  |p           |                  |            |Gb         |304.80|-43.91|R           |Tuc          |vF, L, R, vglbM                                      |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
