https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 1629|04 29.3|-71 50|       |            |                  |            |OC         |284.54|-36.48|R           |Hyi          |vF, pL, R, glbM                                      |                                  OPEN STAR CLUSTER|
|NGC 1840|05 06.4|-71 49|       |            |                  |            |OC         |283.25|-33.79|R           |Men          |F, R, bM, r                                          |                                  OPEN STAR CLUSTER|
|IC 5048 |20 51.6|-71 48|       |            |                  |            |U          |322.18|-34.91|D           |Pav          |eF, vS                                               |                                       UNIDENTIFIED|
|IC 5069 |21 00.0|-71 48|       |            |                  |            |U          |321.89|-35.52|D           |Pav          |eF, S, R                                             |                                       UNIDENTIFIED|
|IC 5051 |20 52.3|-71 47|       |            |                  |            |U          |322.18|-34.97|D           |Pav          |eF, vS                                               |                                       UNIDENTIFIED|
|IC 1641 |01 09.3|-71 46|       |            |                  |            |U          |300.95|-45.29|X           |Tuc          |eF, eS, R; = 422                                     |                                       UNIDENTIFIED|
|NGC 422 |01 08.9|-71 46|       |            |                  |            |U          |300.99|-45.30|DD          |Tuc          |only 3 eF st, close, in SMC                          |                                       UNIDENTIFIED|
|NGC 411 |01 07.9|-71 46|       |            |                  |            |U          |301.10|-45.30|DD          |Tuc          |cB, S, R, stellar                                    |                                       UNIDENTIFIED|
|IC 1660 |01 12.6|-71 45|       |            |                  |            |U          |300.58|-45.28|D           |Tuc          |eF, vS, R, stell N or F* in M                        |                                       UNIDENTIFIED|
|NGC 2025|05 33.1|-71 44|       |            |                  |            |OC         |282.61|-31.77|R           |Men          |vB, vS, lE, gmbM, r                                  |                                  OPEN STAR CLUSTER|
|IC 4705 |18 28.2|-71 42|       |            |                  |  2.7       |Gx         |322.91|-23.87|C           |Pav          |eF, eS, R                                            |                                             GALAXY|
|IC 4712 |18 31.1|-71 42|       |            |                  |  2.1       |Gx         |322.97|-24.09|C           |Pav          |vF, vS, R, bM                                        |                                             GALAXY|
|IC 4929 |20 06.7|-71 41|       |            |                  |  1.3       |Gx         |323.36|-31.54|C           |Pav          |F, S, cE 15deg                                       |                                             GALAXY|
|NGC 1466|03 44.5|-71 41| 11.4  |            |                  |  2.3       |Gb         |286.71|-39.54|S           |Hyi          |pF, pS, iR, glbM, *7 f                               |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 5060 |20 54.6|-71 38|       |            |                  |            |U          |322.27|-35.19|D           |Pav          |eF, eS, bet 2 F st                                   |                                       UNIDENTIFIED|
|IC 4704 |18 27.9|-71 37|       |            |                  |  3.2       |Gx         |322.99|-23.82|C           |Pav          |cB, bM                                               |                                             GALAXY|
|IC 4682 |18 16.4|-71 35|       |            |                  |  2.5       |Gx         |322.75|-22.94|C           |Pav          |vF, cS, cE 140deg , stell N                          |                                             GALAXY|
|IC 4992 |20 23.5|-71 34|       |            |                  |  2.0       |Gx         |323.20|-32.86|C           |Pav          |vF, S, eE 65deg , *9 nf 2'                           |                                             GALAXY|
|NGC 2213|06 10.7|-71 33|       |            |                  |            |Gb         |282.10|-28.84|R           |Men          |vF, S, R, glbM, ***  p                               |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 458 |01 14.9|-71 33|       |            |                  |            |U          |300.29|-45.46|DD          |Tuc          |prob Cl, eS, close, no neb                           |                                       UNIDENTIFIED|
|NGC 361 |01 02.2|-71 33| 11.8  |            |                  |  1.5       |Gb         |301.72|-45.55|S           |Tuc          |vvF, pL, vlE, vgbM                                   |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 121 |00 26.8|-71 32| 10.6  |            |                  |  1.5       |Gb         |305.71|-45.46|S           |Tuc          |pB, pS, lE, vgbM                                     |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 6777|19 26.8|-71 30|       |            |                  |            |U          |323.82|-28.41|DD          |Pav          |2 st 8 or 9 mag nr (no neb)                          |                                       UNIDENTIFIED|
|NGC 2121|05 48.0|-71 28| 11.2  |            |                  |  1.8       |Gb         |282.12|-30.64|S           |Men          |vF, cL, vgbM                                         |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 2466|07 45.2|-71 24|       |            |                  |  1.5       |Gx         |283.46|-21.48|V           |Vol          |vF, S, R, lbM                                        |                                             GALAXY|
|IC 5118 |21 40.3|-71 23|       |            |                  |            |U          |320.53|-38.54|D           |Ind          |vF, S, cE 35deg , *10 sp 2'                          |                                       UNIDENTIFIED|
|NGC 2103|05 41.6|-71 20|       |            |                  |            |C+N        |282.03|-31.16|R           |Men          |pB, L, pmE, gbM *13                                  |                                  OPEN STAR CLUSTER|
|IC 1655 |01 11.9|-71 20|       |            |                  |            |OC         |300.59|-45.70|X           |Tuc          |Cl, C, eF, vS                                        |                                  OPEN STAR CLUSTER|
|NGC 1914|05 17.6|-71 14|       |            |                  |            |C+N        |282.31|-33.07|R           |Men          |F, L, iE                                             |                                  OPEN STAR CLUSTER|
|NGC 2133|05 51.4|-71 11|       |            |                  |            |Gb         |281.76|-30.39|R           |Men          |F, pL, R, gpmbM                                      |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 1848|05 07.3|-71 11|       |            |                  |            |C+N        |282.50|-33.89|R           |Men          |Cl, vlC, st 9...                                     |                                  OPEN STAR CLUSTER|
|IC 1708 |01 24.9|-71 11|       |            |                  |            |U          |299.08|-45.69|D           |Hyi          |vF, vS, R, *9 sf 4'                                  |                                       UNIDENTIFIED|
|IC 5053 |20 53.6|-71 08|       |            |                  |  1.9       |Gx         |322.88|-35.29|C           |Pav          |cF, vS, bM, *11 n 2'                                 |                                             GALAXY|
|NGC 2134|05 50.1|-71 07| 11.0  |p           |                  |            |OC         |281.69|-30.51|R           |Men          |glob. cl. , B, pL, R, gmbM, r                        |                                  OPEN STAR CLUSTER|
|IC 5024 |20 40.1|-71 06|       |            |                  |            |U          |323.34|-34.27|D           |Pav          |eF, S, mE 15deg                                      |                                       UNIDENTIFIED|
|NGC 2018|05 30.6|-71 04|       |            |                  | 25.0       |Nb         |281.87|-32.08|S           |Men          |pB, pL, R, pglbM, *10 p inv                          |                                  REFLECTION NEBULA|
|IC 4853 |19 30.9|-71 04|       |            |                  |            |U          |324.31|-28.74|D           |Pav          |eeF, eS, lE 170deg                                   |                                       UNIDENTIFIED|
|IC 4945 |20 11.3|-71 01|       |            |                  |  1.0       |Gx         |324.07|-32.01|C           |Pav          |F, S, E 5deg , cbM                                   |                                             GALAXY|
|IC 5054 |20 53.7|-71 01|       |            |                  |  1.8       |Gx         |323.01|-35.34|C           |Pav          |cF, vS, bet 2 F st                                   |                                             GALAXY|
|NGC 2051|05 36.2|-71 00|       |            |                  |            |OC         |281.71|-31.64|R           |Men          |pB, S, R, gbM                                        |                                  OPEN STAR CLUSTER|
